Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 8uL_5hr	Razor + unique peptides 8uL_5hr	Unique peptides 8uL_5hr	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 8uL_5hr	Reporter intensity corrected 2 8uL_5hr	Reporter intensity corrected 3 8uL_5hr	Reporter intensity corrected 4 8uL_5hr	Reporter intensity corrected 5 8uL_5hr	Reporter intensity corrected 6 8uL_5hr	Reporter intensity 1 8uL_5hr	Reporter intensity 2 8uL_5hr	Reporter intensity 3 8uL_5hr	Reporter intensity 4 8uL_5hr	Reporter intensity 5 8uL_5hr	Reporter intensity 6 8uL_5hr	Reporter intensity count 1 8uL_5hr	Reporter intensity count 2 8uL_5hr	Reporter intensity count 3 8uL_5hr	Reporter intensity count 4 8uL_5hr	Reporter intensity count 5 8uL_5hr	Reporter intensity count 6 8uL_5hr	Sequence coverage 8uL_5hr [%]	Intensity	Intensity 8uL_5hr	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q9CRT8	Q9CRT8	14	14	14	Exportin-T	Xpot	sp|Q9CRT8|XPOT_MOUSE Exportin-T OS=Mus musculus GN=Xpot PE=1 SV=3	1	14	14	14	14	14	14	16.8	16.8	16.8	109.73	963	963	0	107.21	85094	93472	110650	80688	99716	26468	82009	92108	111180	84359	98085	27654	20	20	20	20	20	20	85094	93472	110650	80688	99716	26468	82009	92108	111180	84359	98085	27654	20	20	20	20	20	20	16.8	121520000	121520000	21				1066	378;516;628;1006;1164;4158;4679;5019;5040;5133;5312;5989;6016;7733	True;True;True;True;True;True;True;True;True;True;True;True;True;True	400;543;663;1060;1224;4350;4890;5243;5264;5368;5582;6289;6316;8098	534;727;911;1400;1401;1402;1633;5982;5983;6760;7268;7293;7426;7732;7733;8723;8755;11236	753;754;1002;1264;1900;1901;1902;2198;2199;8248;8249;9345;10047;10086;10259;10666;10667;12007;12049;12050;15458	754;1002;1264;1901;2199;8249;9345;10047;10086;10259;10666;12007;12049;15458		
Q9CSP9	Q9CSP9	3	3	3	Tetratricopeptide repeat protein 14	Ttc14	sp|Q9CSP9|TTC14_MOUSE Tetratricopeptide repeat protein 14 OS=Mus musculus GN=Ttc14 PE=1 SV=2	1	3	3	3	3	3	3	3.9	3.9	3.9	86.791	761	761	0	18.707	33364	40237	33608	36263	35275	11297	32224	39317	34670	36876	35055	11603	3	3	3	3	3	3	33364	40237	33608	36263	35275	11297	32224	39317	34670	36876	35055	11603	3	3	3	3	3	3	3.9	16405000	16405000	3				1067	2637;6035;6591	True;True;True	2759;6336;6913	3783;8777;9584	5219;12078;13179	5219;12078;13179		
Q9CWF2	Q9CWF2	16	1	1	Tubulin beta-2B chain	Tubb2b	sp|Q9CWF2|TBB2B_MOUSE Tubulin beta-2B chain OS=Mus musculus GN=Tubb2b PE=1 SV=1	1	16	1	1	16	1	1	49.2	2.7	2.7	49.953	445	445	0	7.3638	13123	11967	15928	13249	11153	4891.2	12600	11939	15937	13602	11192	4911	3	3	3	3	3	3	13123	11967	15928	13249	11153	4891.2	12600	11939	15937	13602	11192	4911	3	3	3	3	3	3	49.2	60438000	60438000	3				1068	338;473;2239;2525;2909;3749;3803;3814;4177;5000;5258;5477;5555;6475;7024;8462	False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False	357;358;496;497;2339;2340;2645;3039;3922;3979;3990;4370;4371;5224;5515;5755;5841;6797;7357;8858	473;474;475;476;477;478;664;665;3141;3142;3143;3144;3145;3146;3599;3600;4175;4176;5393;5394;5475;5476;5493;6015;6016;6017;6018;6019;7244;7245;7641;7986;8121;8122;8123;9410;9411;10197;10198;10199;10200;12341	661;662;663;664;665;666;667;668;669;670;671;672;673;674;675;924;925;926;4250;4251;4252;4253;4254;4255;4256;4257;4258;4259;4945;4946;4947;4948;5796;5797;5798;7461;7462;7463;7579;7580;7581;7607;7608;7609;8299;8300;8301;8302;8303;8304;10015;10016;10017;10548;11007;11203;11204;11205;11206;11207;12950;12951;12952;12953;12954;14014;14015;14016;14017;14018;17056	670;925;4259;4947;5797;7463;7580;7608;8303;10017;10548;11007;11204;12951;14016;17056	243;245;246;259;361	73;257;293;330;363
Q9CX86	Q9CX86	4	4	4	Heterogeneous nuclear ribonucleoprotein A0	Hnrnpa0	sp|Q9CX86|ROA0_MOUSE Heterogeneous nuclear ribonucleoprotein A0 OS=Mus musculus GN=Hnrnpa0 PE=1 SV=1	1	4	4	4	4	4	4	10.2	10.2	10.2	30.53	305	305	0	32.699	117530	131370	123060	109900	121320	50447	113310	129000	125620	113210	120340	50796	15	15	15	15	15	14	117530	131370	123060	109900	121320	50447	113310	129000	125620	113210	120340	50796	15	15	15	15	15	14	10.2	361140000	361140000	17				1069	1264;4012;4355;4383	True;True;True;True	1330;4196;4552;4580	1776;5772;6256;6257;6304;6305;6306;6307;6308	2390;7972;8641;8642;8643;8644;8645;8704;8705;8706;8707;8708;8709;8710;8711;8712;8713	2390;7972;8642;8713		
Q9CXW2	Q9CXW2	4	4	4	28S ribosomal protein S22, mitochondrial	Mrps22	sp|Q9CXW2|RT22_MOUSE 28S ribosomal protein S22, mitochondrial OS=Mus musculus GN=Mrps22 PE=1 SV=1	1	4	4	4	4	4	4	11.7	11.7	11.7	41.192	359	359	0	24.129	19406	21011	20274	21062	23985	8027.6	18697	20673	20709	21553	23707	8215.8	4	4	4	4	4	4	19406	21011	20274	21062	23985	8027.6	18697	20673	20709	21553	23707	8215.8	4	4	4	4	4	4	11.7	23685000	23685000	5				1070	2070;3483;3672;4038	True;True;True;True	2169;3640;3839;4225	2923;4966;4967;5286;5803	3960;6861;6862;7320;8009	3960;6861;7320;8009		
Q9CXW4	Q9CXW4	4	4	4	60S ribosomal protein L11	Rpl11	sp|Q9CXW4|RL11_MOUSE 60S ribosomal protein L11 OS=Mus musculus GN=Rpl11 PE=1 SV=4	1	4	4	4	4	4	4	20.8	20.8	20.8	20.252	178	178	0	28.738	117050	93193	82059	98343	114190	48433	112120	93393	84534	100110	113100	48732	11	11	11	11	11	11	117050	93193	82059	98343	114190	48433	112120	93393	84534	100110	113100	48732	11	11	11	11	11	11	20.8	1106200000	1106200000	11				1071	164;7140;7848;8334	True;True;True;True	171;7477;8221;8727	232;233;10354;11444;11445;11446;11447;12167;12168	340;341;14210;15768;15769;15770;15771;16794;16795;16796;16797	341;14210;15771;16796		
Q9CXY6	Q9CXY6	5	5	5	Interleukin enhancer-binding factor 2	Ilf2	sp|Q9CXY6|ILF2_MOUSE Interleukin enhancer-binding factor 2 OS=Mus musculus GN=Ilf2 PE=1 SV=1	1	5	5	5	5	5	5	16.4	16.4	16.4	43.062	390	390	0	40.232	31063	34017	37091	38627	35171	10819	29935	33493	37615	39274	35035	11151	5	5	5	5	5	5	31063	34017	37091	38627	35171	10819	29935	33493	37615	39274	35035	11151	5	5	5	5	5	5	16.4	57581000	57581000	5				1072	828;5520;6048;7817;7894	True;True;True;True;True	871;5804;6350;8190;8267	1170;8065;8793;11395;11514	1606;11124;12101;15691;15867	1606;11124;12101;15691;15867		
Q9CXZ1	Q9CXZ1	2	2	2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	Ndufs4	sp|Q9CXZ1|NDUS4_MOUSE NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Mus musculus GN=Ndufs4 PE=1 SV=3	1	2	2	2	2	2	2	13.7	13.7	13.7	19.784	175	175	0	12.862	11963	13446	10243	11521	15665	4701.5	11535	13175	10650	11820	15381	4856	3	3	3	3	3	3	11963	13446	10243	11521	15665	4701.5	11535	13175	10650	11820	15381	4856	3	3	3	3	3	3	13.7	8911200	8911200	3				1073	1560;4223	True;True	1641;4418	2230;6077	3005;8385;8386	3005;8386		
Q9CY27	Q9CY27	2	2	2	Very-long-chain enoyl-CoA reductase	Tecr	sp|Q9CY27|TECR_MOUSE Very-long-chain enoyl-CoA reductase OS=Mus musculus GN=Tecr PE=1 SV=1	1	2	2	2	2	2	2	6.5	6.5	6.5	36.09	308	308	0	15.645	17086	10342	13093	11352	13080	4992	16304	10641	13143	11726	12942	5058.7	2	2	2	2	2	2	17086	10342	13093	11352	13080	4992	16304	10641	13143	11726	12942	5058.7	2	2	2	2	2	2	6.5	10933000	10933000	2				1074	4603;7691	True;True	4813;8056	6658;11187	9193;15391	9193;15391		
Q9CY50	Q9CY50	2	2	2	Translocon-associated protein subunit alpha	Ssr1	sp|Q9CY50|SSRA_MOUSE Translocon-associated protein subunit alpha OS=Mus musculus GN=Ssr1 PE=1 SV=1	1	2	2	2	2	2	2	9.1	9.1	9.1	32.065	286	286	0	14.491	11750	11932	11856	10788	15090	5804.1	11305	11785	12065	11190	14842	5878.5	3	3	3	3	3	3	11750	11932	11856	10788	15090	5804.1	11305	11785	12065	11190	14842	5878.5	3	3	3	3	3	3	9.1	8312100	8312100	3				1075	2758;3190	True;True	2886;3337	3954;4577	5472;5473;6359	5473;6359		
Q9CY58	Q9CY58	15	15	15	Plasminogen activator inhibitor 1 RNA-binding protein	Serbp1	sp|Q9CY58|PAIRB_MOUSE Plasminogen activator inhibitor 1 RNA-binding protein OS=Mus musculus GN=Serbp1 PE=1 SV=2	1	15	15	15	15	15	15	41	41	41	44.714	407	407	0	132.74	214480	194370	182890	143440	183690	65168	205900	193200	186330	149510	180980	66394	23	23	23	23	23	23	214480	194370	182890	143440	183690	65168	205900	193200	186330	149510	180980	66394	23	23	23	23	23	23	41	426490000	426490000	27				1076	951;1495;1679;1998;2010;2376;2773;2774;4029;4043;5503;5650;6241;6263;6770	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1002;1573;1765;2095;2108;2489;2902;2903;4216;4230;5787;5940;6550;6575;7096	1333;2143;2144;2392;2393;2834;2835;2852;3375;3376;3972;3973;5792;5813;8046;8270;9079;9120;9121;9841;9842	1815;2890;2891;2892;3224;3225;3226;3848;3849;3850;3871;4613;4614;4615;5495;5496;7995;8020;11102;11404;12512;12513;12570;12571;13526;13527;13528	1815;2891;3225;3849;3871;4613;5495;5496;7995;8020;11102;11404;12513;12570;13527		
Q9CYH6	Q9CYH6	1	1	1	Ribosome biogenesis regulatory protein homolog	Rrs1	sp|Q9CYH6|RRS1_MOUSE Ribosome biogenesis regulatory protein homolog OS=Mus musculus GN=Rrs1 PE=1 SV=1	1	1	1	1	1	1	1	2.5	2.5	2.5	41.551	365	365	0	6.8542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	1				1077	1618	True	1700	2308	3112	3112		
Q9CYL5	Q9CYL5	1	1	1	Golgi-associated plant pathogenesis-related protein 1	Glipr2	sp|Q9CYL5|GAPR1_MOUSE Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=1 SV=3	1	1	1	1	1	1	1	8.4	8.4	8.4	17.09	154	154	0.0025952	6.5964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4	0	0	1				1078	1526	True	1607	2189	2946	2946		
Q9CZD3	Q9CZD3	1	1	1	Glycine--tRNA ligase	Gars	sp|Q9CZD3|SYG_MOUSE Glycine--tRNA ligase OS=Mus musculus GN=Gars PE=1 SV=1	1	1	1	1	1	1	1	1.4	1.4	1.4	81.877	729	729	0.0025884	6.5662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	1				1079	2770	True	2899	3969	5492	5492		
Q9CZS1;Q9JHW9	Q9CZS1	6;2	5;1	5;1	Aldehyde dehydrogenase X, mitochondrial	Aldh1b1	sp|Q9CZS1|AL1B1_MOUSE Aldehyde dehydrogenase X, mitochondrial OS=Mus musculus GN=Aldh1b1 PE=1 SV=1	2	6	5	5	6	5	5	12.7	11.2	11.2	57.552	519	519;512	0	29.197	30183	28817	41380	41447	50690	11153	29005	28698	41403	42571	49808	11890	6	6	6	6	6	6	30183	28817	41380	41447	50690	11153	29005	28698	41403	42571	49808	11890	6	6	6	6	6	6	12.7	39745000	39745000	6				1080	37;1644;7128;7134;8119;8375	True;True;True;True;False;True	38;1726;7465;7471;8499;8769	44;2337;2338;10339;10347;11825;11826;12225	67;3151;3152;14189;14201;16264;16265;16266;16904	67;3152;14189;14201;16265;16904		
Q9CZU6	Q9CZU6	2	2	2	Citrate synthase, mitochondrial	Cs	sp|Q9CZU6|CISY_MOUSE Citrate synthase, mitochondrial OS=Mus musculus GN=Cs PE=1 SV=1	1	2	2	2	2	2	2	5.4	5.4	5.4	51.736	464	464	0	12.675	3095.3	2768.9	2473.5	2754.7	2668.3	954.52	2970.8	2753.2	2541.6	2797.4	2655.1	971.86	2	2	2	2	2	2	3095.3	2768.9	2473.5	2754.7	2668.3	954.52	2970.8	2753.2	2541.6	2797.4	2655.1	971.86	2	2	2	2	2	2	5.4	4827000	4827000	2				1081	1388;3012	True;True	1462;3145	1967;4314	2655;5981	2655;5981		
Q9CZW5	Q9CZW5	5	5	5	Mitochondrial import receptor subunit TOM70	Tomm70a	sp|Q9CZW5|TOM70_MOUSE Mitochondrial import receptor subunit TOM70 OS=Mus musculus GN=Tomm70a PE=1 SV=2	1	5	5	5	5	5	5	8.2	8.2	8.2	67.589	611	611	0	32.176	6610.7	8015.6	7829.2	8087.1	8546.1	1804.6	6385.6	7842	7989.9	8257.2	8437.7	1933.2	2	2	2	2	2	2	6610.7	8015.6	7829.2	8087.1	8546.1	1804.6	6385.6	7842	7989.9	8257.2	8437.7	1933.2	2	2	2	2	2	2	8.2	4286200	4286200	5				1082	7;113;776;6198;6963	True;True;True;True;True	8;118;816;6506;7294	9;150;1105;9025;10115	16;218;1521;12443;13906	16;218;1521;12443;13906		
Q9CZX8	Q9CZX8	4	4	4	40S ribosomal protein S19	Rps19	sp|Q9CZX8|RS19_MOUSE 40S ribosomal protein S19 OS=Mus musculus GN=Rps19 PE=1 SV=3	1	4	4	4	4	4	4	26.2	26.2	26.2	16.085	145	145	0	33.449	21827	27922	21915	20044	24210	9528.2	21112	27192	22652	20678	23925	9634.9	4	4	4	4	4	4	21827	27922	21915	20044	24210	9528.2	21112	27192	22652	20678	23925	9634.9	4	4	4	4	4	4	26.2	23503000	23503000	6				1083	2842;3447;7890;7984	True;True;True;True	2971;3602;8263;8363	4056;4917;11506;11507;11508;11639	5606;6798;15858;15859;15860;16023	5606;6798;15860;16023		
Q9D071	Q9D071	2	2	2	MMS19 nucleotide excision repair protein homolog	Mms19	sp|Q9D071|MMS19_MOUSE MMS19 nucleotide excision repair protein homolog OS=Mus musculus GN=Mms19 PE=1 SV=1	1	2	2	2	2	2	2	1.7	1.7	1.7	113.09	1031	1031	0	10.659	9158.9	9962.1	11896	10554	11902	3450.7	8824.9	9823	11979	10879	11752	3575.2	2	2	2	2	2	2	9158.9	9962.1	11896	10554	11902	3450.7	8824.9	9823	11979	10879	11752	3575.2	2	2	2	2	2	2	1.7	6153700	6153700	2				1084	2803;4115	True;True	2932;4304	4007;5919	5539;8160	5539;8160		
Q9D0D5	Q9D0D5	2	2	2	General transcription factor IIE subunit 1	Gtf2e1	sp|Q9D0D5|T2EA_MOUSE General transcription factor IIE subunit 1 OS=Mus musculus GN=Gtf2e1 PE=1 SV=1	1	2	2	2	2	2	2	5	5	5	49.593	440	440	0	12.694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2				1085	130;7699	True;True	137;8064	181;11196	267;15403	267;15403		
Q9D0E1	Q9D0E1	22	22	22	Heterogeneous nuclear ribonucleoprotein M	Hnrnpm	sp|Q9D0E1|HNRPM_MOUSE Heterogeneous nuclear ribonucleoprotein M OS=Mus musculus GN=Hnrnpm PE=1 SV=3	1	22	22	22	22	22	22	37.2	37.2	37.2	77.648	729	729	0	191.91	271530	257260	252670	272610	267150	96556	260900	255110	257950	277300	265740	98235	31	31	31	31	31	31	271530	257260	252670	272610	267150	96556	260900	255110	257950	277300	265740	98235	31	31	31	31	31	31	37.2	633100000	633100000	32				1086	30;44;120;227;2402;2432;2763;2926;3033;3570;3737;4467;5104;5122;5173;5177;5178;5182;5450;5868;7750;7816	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	31;45;125;239;2517;2548;2891;3058;3172;3731;3910;4670;5330;5352;5412;5416;5417;5422;5725;6166;8116;8189	35;36;51;159;318;3423;3468;3959;4201;4349;5098;5375;5376;6465;6466;7378;7406;7481;7486;7487;7493;7941;7942;8556;11260;11394	50;51;75;76;232;455;4687;4688;4752;5479;5834;6031;6032;7061;7439;7440;7441;8937;8938;8939;10200;10233;10324;10330;10331;10337;10937;10938;11780;11781;15489;15690	50;76;232;455;4688;4752;5479;5834;6031;7061;7441;8938;10200;10233;10324;10330;10331;10337;10938;11781;15489;15690	477;478	333;335
Q9D0I9	Q9D0I9	4	4	4	Arginine--tRNA ligase, cytoplasmic	Rars	sp|Q9D0I9|SYRC_MOUSE Arginine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Rars PE=1 SV=2	1	4	4	4	4	4	4	6.5	6.5	6.5	75.673	660	660	0	27.648	14438	17630	12821	11609	15388	5901.9	13949	17196	13329	12020	15158	5978.7	2	2	2	2	2	2	14438	17630	12821	11609	15388	5901.9	13949	17196	13329	12020	15158	5978.7	2	2	2	2	2	2	6.5	8766200	8766200	4				1087	463;3896;7814;7909	True;True;True;True	485;4076;8187;8283	648;5625;11392;11534	901;7799;15688;15891	901;7799;15688;15891		
Q9D0J4	Q9D0J4	1	1	1	ADP-ribosylation factor-like protein 2	Arl2	sp|Q9D0J4|ARL2_MOUSE ADP-ribosylation factor-like protein 2 OS=Mus musculus GN=Arl2 PE=1 SV=1	1	1	1	1	1	1	1	5.4	5.4	5.4	20.864	184	184	0	7.1805	5301.7	6035.2	5793.2	5216.9	6534.3	1968.7	5113.6	5922.1	5906.2	5391.8	6431.7	2032.7	1	1	1	1	1	1	5301.7	6035.2	5793.2	5216.9	6534.3	1968.7	5113.6	5922.1	5906.2	5391.8	6431.7	2032.7	1	1	1	1	1	1	5.4	4077100	4077100	1				1088	1951	True	2042	2754	3726	3726		
Q9D0J8	Q9D0J8	1	1	1	Parathymosin	Ptms	sp|Q9D0J8|PTMS_MOUSE Parathymosin OS=Mus musculus GN=Ptms PE=1 SV=3	1	1	1	1	1	1	1	10.9	10.9	10.9	11.43	101	101	0	8.6669	9858.7	12073	12369	15113	12928	3899.4	9525.3	11812	12624	15240	12911	4025.8	2	2	2	2	2	2	9858.7	12073	12369	15113	12928	3899.4	9525.3	11812	12624	15240	12911	4025.8	2	2	2	2	2	2	10.9	8024100	8024100	2				1089	6900	True	7229	10026;10027	13781;13782	13781		
Q9D0L4	Q9D0L4	4	4	4	Uncharacterized aarF domain-containing protein kinase 1	Adck1	sp|Q9D0L4|ADCK1_MOUSE Uncharacterized aarF domain-containing protein kinase 1 OS=Mus musculus GN=Adck1 PE=1 SV=1	1	4	4	4	4	4	4	10.5	10.5	10.5	59.735	525	525	0	28.585	16818	16955	19217	19569	12583	4027.3	16179	16779	19436	19771	12761	4136.8	2	2	2	2	2	2	16818	16955	19217	19569	12583	4027.3	16179	16779	19436	19771	12761	4136.8	2	2	2	2	2	2	10.5	14184000	14184000	5				1090	758;5875;6513;6931	True;True;True;True	796;6173;6834;7261	1080;8563;8564;9458;10066	1486;11788;11789;13013;13837	1486;11788;13013;13837		
Q9D0L8	Q9D0L8	2	2	2	mRNA cap guanine-N7 methyltransferase	Rnmt	sp|Q9D0L8|MCES_MOUSE mRNA cap guanine-N7 methyltransferase OS=Mus musculus GN=Rnmt PE=1 SV=1	1	2	2	2	2	2	2	4.3	4.3	4.3	53.291	465	465	0	12.398	15623	22416	14882	10040	186190	2833.6	15158	21693	15692	15307	176270	7115.3	3	3	3	3	3	2	15623	22416	14882	10040	186190	2833.6	15158	21693	15692	15307	176270	7115.3	3	3	3	3	3	2	4.3	39595000	39595000	5				1091	2747;4738	True;True	2875;4951	3939;6859;6860	5452;9479;9480;9481;9482	5452;9481		
Q9D0R2	Q9D0R2	1	1	1	Threonine--tRNA ligase, cytoplasmic	Tars	sp|Q9D0R2|SYTC_MOUSE Threonine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Tars PE=1 SV=2	1	1	1	1	1	1	1	1.4	1.4	1.4	83.355	722	722	0	7.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	1				1092	7967	True	8345	11618	16001	16001		
Q9D125	Q9D125	1	1	1	28S ribosomal protein S25, mitochondrial	Mrps25	sp|Q9D125|RT25_MOUSE 28S ribosomal protein S25, mitochondrial OS=Mus musculus GN=Mrps25 PE=1 SV=1	1	1	1	1	1	1	1	5.3	5.3	5.3	19.92	171	171	0.0088567	6.0703	7857.5	9321.3	7587	6922.1	9019.9	3527.5	7586	9113.5	7821.8	7160.6	8891.9	3568.5	1	1	1	1	1	1	7857.5	9321.3	7587	6922.1	9019.9	3527.5	7586	9113.5	7821.8	7160.6	8891.9	3568.5	1	1	1	1	1	1	5.3	5058100	5058100	1				1093	2439	True	2555	3475	4761	4761		
Q9D1G1;P62821;P61027;Q9DD03;P61028;P55258;Q8K386	Q9D1G1;P62821	3;2;1;1;1;1;1	3;2;1;1;1;1;1	3;2;1;1;1;1;1	Ras-related protein Rab-1B;Ras-related protein Rab-1A	Rab1b;Rab1A	sp|Q9D1G1|RAB1B_MOUSE Ras-related protein Rab-1B OS=Mus musculus GN=Rab1b PE=1 SV=1;sp|P62821|RAB1A_MOUSE Ras-related protein Rab-1A OS=Mus musculus GN=Rab1A PE=1 SV=3	7	3	3	3	3	3	3	14.4	14.4	14.4	22.187	201	201;205;200;202;207;207;212	0	18.961	12983	14281	16983	20590	28022	4504.1	12512	14073	17203	21052	27395	5008.5	6	6	6	6	6	6	12983	14281	16983	20590	28022	4504.1	12512	14073	17203	21052	27395	5008.5	6	6	6	6	6	6	14.4	29349000	29349000	6				1094	4628;5227;8318	True;True;True	4839;5482;5483;8711	6691;6692;7597;7598;12148	9241;9242;10494;10495;10496;16770	9241;10495;16770	479	1
Q9D1M0	Q9D1M0	2	2	2	Protein SEC13 homolog	Sec13	sp|Q9D1M0|SEC13_MOUSE Protein SEC13 homolog OS=Mus musculus GN=Sec13 PE=1 SV=3	1	2	2	2	2	2	2	12.4	12.4	12.4	35.565	322	322	0	14.684	3770.6	4909.9	3608.2	3436.2	7340.6	1263.4	3648.7	4775.3	3753.6	3624.5	7102.9	1390.6	2	2	2	2	2	2	3770.6	4909.9	3608.2	3436.2	7340.6	1263.4	3648.7	4775.3	3753.6	3624.5	7102.9	1390.6	2	2	2	2	2	2	12.4	7220800	7220800	2				1095	1357;3099	True;True	1424;3240	1893;4439	2540;6152	2540;6152		
Q9D1R9	Q9D1R9	5	5	5	60S ribosomal protein L34	Rpl34	sp|Q9D1R9|RL34_MOUSE 60S ribosomal protein L34 OS=Mus musculus GN=Rpl34 PE=1 SV=2	1	5	5	5	5	5	5	35.9	35.9	35.9	13.293	117	117	0	31.466	101300	108910	82028	85157	119020	42174	97581	106960	85238	87766	116960	42971	9	9	9	9	9	9	101300	108910	82028	85157	119020	42174	97581	106960	85238	87766	116960	42971	9	9	9	9	9	9	35.9	200620000	200620000	9				1096	230;571;832;4932;6265	True;True;True;True;True	242;605;875;5152;6577	323;324;831;832;1175;7128;7129;9123	460;461;462;1156;1157;1611;9847;9848;12574	461;1156;1611;9848;12574		
Q9D2Q8	Q9D2Q8	2	2	2	Protein S100-A14	S100a14	sp|Q9D2Q8|S10AE_MOUSE Protein S100-A14 OS=Mus musculus GN=S100a14 PE=1 SV=1	1	2	2	2	2	2	2	21.2	21.2	21.2	11.599	104	104	0	17.073	16683	15409	12081	11456	15298	7150.1	16021	15273	12496	11840	15105	7151.6	2	2	2	2	2	2	16683	15409	12081	11456	15298	7150.1	16021	15273	12496	11840	15105	7151.6	2	2	2	2	2	2	21.2	9373900	9373900	2				1097	322;6289	True;True	339;6602	442;9154	619;12612	619;12612		
Q9D379	Q9D379	3	3	3	Epoxide hydrolase 1	Ephx1	sp|Q9D379|HYEP_MOUSE Epoxide hydrolase 1 OS=Mus musculus GN=Ephx1 PE=1 SV=2	1	3	3	3	3	3	3	5.7	5.7	5.7	52.576	455	455	0	19.604	18255	16262	17894	15703	15969	6976.3	17520	16209	18091	16152	15898	7006.3	4	4	4	4	4	4	18255	16262	17894	15703	15969	6976.3	17520	16209	18091	16152	15898	7006.3	4	4	4	4	4	4	5.7	23950000	23950000	4				1098	669;1112;2618	True;True;True	705;1169;2740	962;1543;1544;3754	1331;2081;2082;5169	1331;2082;5169		
Q9D3B1	Q9D3B1	1	1	1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2	Hacd2	sp|Q9D3B1|HACD2_MOUSE Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2 OS=Mus musculus GN=Hacd2 PE=1 SV=1	1	1	1	1	1	1	1	3.9	3.9	3.9	28.402	254	254	0	7.6987	20254	24723	26890	29054	26377	11933	19568	24209	27292	29497	26393	11959	1	1	1	1	1	1	20254	24723	26890	29054	26377	11933	19568	24209	27292	29497	26393	11959	1	1	1	1	1	1	3.9	7689100	7689100	1				1099	7741	True	8107	11248	15473	15473		
Q9D4F8	Q9D4F8	2	2	2	Gamma-tubulin complex component 4	Tubgcp4	sp|Q9D4F8|GCP4_MOUSE Gamma-tubulin complex component 4 OS=Mus musculus GN=Tubgcp4 PE=1 SV=2	1	2	2	2	2	2	2	2.8	2.8	2.8	76.125	667	667	0	12.322	2336.5	2923.1	2722.3	2598.3	3119	683.28	2258.7	2854.1	2783	2673.3	3066.5	728.8	1	1	1	1	1	1	2336.5	2923.1	2722.3	2598.3	3119	683.28	2258.7	2854.1	2783	2673.3	3066.5	728.8	1	1	1	1	1	1	2.8	2053500	2053500	2				1100	6665;7672	True;True	6990;8037	9700;11163	13346;15361	13346;15361		
Q9D4H1	Q9D4H1	2	2	2	Exocyst complex component 2	Exoc2	sp|Q9D4H1|EXOC2_MOUSE Exocyst complex component 2 OS=Mus musculus GN=Exoc2 PE=1 SV=1	1	2	2	2	2	2	2	1.7	1.7	1.7	103.96	924	924	0	12.102	13826	12959	12576	11609	13073	4554.8	13281	12858	12816	11943	12932	4646.9	2	2	2	2	2	2	13826	12959	12576	11609	13073	4554.8	13281	12858	12816	11943	12932	4646.9	2	2	2	2	2	2	1.7	6456100	6456100	2				1101	3219;6561	True;True	3366;6883	4616;9539	6412;13119	6412;13119		
